    agent_name    | department | skill_level | total_calls | resolved_calls | resolution_rate_pct | dept_rank | overall_dense_rank | overall_row_num 
------------------+------------+-------------+-------------+----------------+---------------------+-----------+--------------------+-----------------
 Carlos Mendes    | Benefits   |           3 |          18 |             18 |               100.0 |         1 |                  1 |               1
 Natasha Volkov   | Enrollment |           1 |           3 |              3 |               100.0 |         1 |                  1 |               2
 Maria Santos     | Claims     |           5 |          28 |             27 |                96.4 |         1 |                  2 |               3
 James Chen       | Claims     |           3 |          21 |             20 |                95.2 |         2 |                  3 |               4
 Aisha Patel      | Claims     |           2 |          20 |             19 |                95.0 |         3 |                  4 |               5
 Omar Farah       | Benefits   |           4 |          17 |             16 |                94.1 |         2 |                  5 |               6
 Rachel Thompson  | Claims     |           1 |          17 |             15 |                88.2 |         4 |                  6 |               7
 Stephanie Davis  | Enrollment |           5 |          24 |             21 |                87.5 |         2 |                  7 |               8
 Linda Nguyen     | Benefits   |           5 |          22 |             19 |                86.4 |         3 |                  8 |               9
 David Kim        | Claims     |           4 |          19 |             16 |                84.2 |         5 |                  9 |              10
 Fatima Al-Rashid | Enrollment |           2 |          25 |             21 |                84.0 |         3 |                 10 |              11
 Michael Brown    | Claims     |           5 |          18 |             15 |                83.3 |         6 |                 11 |              14
 Vijay Reddy      | Enrollment |           3 |          24 |             20 |                83.3 |         4 |                 11 |              12
 Ryan Murphy      | Enrollment |           3 |          24 |             20 |                83.3 |         4 |                 11 |              13
 Tariq Hassan     | Claims     |           3 |          17 |             14 |                82.4 |         7 |                 12 |              15
 Brian O'Malley   | Benefits   |           4 |          22 |             18 |                81.8 |         4 |                 13 |              16
 Andre Williams   | Benefits   |           5 |          25 |             20 |                80.0 |         5 |                 14 |              17
 Priya Sharma     | Benefits   |           2 |          22 |             17 |                77.3 |         6 |                 15 |              18
 Derek Johnson    | Enrollment |           4 |          25 |             19 |                76.0 |         6 |                 16 |              19
 Jessica Taylor   | Enrollment |           5 |          24 |             18 |                75.0 |         7 |                 17 |              20
 Hannah Lee       | Benefits   |           2 |          19 |             13 |                68.4 |         7 |                 18 |              21
 Emily Watson     | Benefits   |           1 |          19 |             12 |                63.2 |         8 |                 19 |              22
 Megan Clark      | Enrollment |           1 |          24 |             15 |                62.5 |         8 |                 20 |              23
 Sofia Rodriguez  | Claims     |           2 |          18 |             11 |                61.1 |         8 |                 21 |              24
(24 rows)

