    agent_name    | department | skill_level | total_calls | avg_satisfaction | dept_avg_satisfaction | satisfaction_delta | avg_handle_min | dept_avg_handle_min | handle_time_delta_min | performance_flag 
------------------+------------+-------------+-------------+------------------+-----------------------+--------------------+----------------+---------------------+-----------------------+------------------
 Emily Watson     | Benefits   |           1 |          18 |             3.33 |                  3.73 |              -0.40 |           22.8 |                23.1 |                  -0.3 | On track
 Hannah Lee       | Benefits   |           2 |          16 |             3.63 |                  3.73 |              -0.10 |           22.9 |                23.1 |                  -0.2 | On track
 Brian O'Malley   | Benefits   |           4 |          22 |             3.68 |                  3.73 |              -0.05 |           23.5 |                23.1 |                   0.4 | On track
 Linda Nguyen     | Benefits   |           5 |          22 |             3.73 |                  3.73 |               0.00 |           23.3 |                23.1 |                   0.2 | On track
 Priya Sharma     | Benefits   |           2 |          22 |             3.73 |                  3.73 |               0.00 |           23.4 |                23.1 |                   0.3 | On track
 Andre Williams   | Benefits   |           5 |          24 |             3.75 |                  3.73 |               0.02 |           22.8 |                23.1 |                  -0.3 | On track
 Omar Farah       | Benefits   |           4 |          16 |             3.88 |                  3.73 |               0.15 |           23.7 |                23.1 |                   0.6 | On track
 Carlos Mendes    | Benefits   |           3 |          18 |             4.11 |                  3.73 |               0.38 |           22.3 |                23.1 |                  -0.8 | On track
 Tariq Hassan     | Claims     |           3 |          17 |             3.53 |                  3.85 |              -0.32 |           23.1 |                22.1 |                   1.0 | On track
 Sofia Rodriguez  | Claims     |           2 |          18 |             3.61 |                  3.85 |              -0.24 |           21.9 |                22.1 |                  -0.2 | On track
 Aisha Patel      | Claims     |           2 |          18 |             3.67 |                  3.85 |              -0.18 |           21.1 |                22.1 |                  -1.0 | On track
 Rachel Thompson  | Claims     |           1 |          15 |             3.73 |                  3.85 |              -0.12 |           22.1 |                22.1 |                   0.0 | On track
 Michael Brown    | Claims     |           5 |          15 |             3.87 |                  3.85 |               0.02 |           22.5 |                22.1 |                   0.4 | On track
 David Kim        | Claims     |           4 |          18 |             4.00 |                  3.85 |               0.15 |           22.6 |                22.1 |                   0.5 | On track
 Maria Santos     | Claims     |           5 |          28 |             4.14 |                  3.85 |               0.29 |           21.8 |                22.1 |                  -0.3 | On track
 James Chen       | Claims     |           3 |          21 |             4.24 |                  3.85 |               0.39 |           21.3 |                22.1 |                  -0.8 | On track
 Fatima Al-Rashid | Enrollment |           2 |          25 |             3.48 |                  3.88 |              -0.40 |           20.6 |                22.9 |                  -2.3 | On track
 Megan Clark      | Enrollment |           1 |          16 |             3.63 |                  3.88 |              -0.25 |           22.7 |                22.9 |                  -0.2 | On track
 Vijay Reddy      | Enrollment |           3 |          22 |             3.68 |                  3.88 |              -0.20 |           23.0 |                22.9 |                   0.1 | On track
 Jessica Taylor   | Enrollment |           5 |          22 |             3.77 |                  3.88 |              -0.11 |           23.5 |                22.9 |                   0.6 | On track
 Derek Johnson    | Enrollment |           4 |          25 |             3.80 |                  3.88 |              -0.08 |           24.1 |                22.9 |                   1.2 | On track
 Stephanie Davis  | Enrollment |           5 |          24 |             4.17 |                  3.88 |               0.29 |           24.3 |                22.9 |                   1.4 | On track
 Ryan Murphy      | Enrollment |           3 |          22 |             4.18 |                  3.88 |               0.30 |           22.0 |                22.9 |                  -0.9 | On track
 Natasha Volkov   | Enrollment |           1 |           3 |             4.33 |                  3.88 |               0.45 |           23.0 |                22.9 |                   0.1 | On track
(24 rows)

