    agent_name    | department | skill_level | hire_date  | tenure_months | total_calls | calls_per_month | resolution_rate_pct | dept_avg_resolution | resolution_delta | avg_satisfaction | dept_avg_satisfaction | satisfaction_delta | avg_handle_min | dept_avg_handle_min | handle_delta_min | longest_resolved_streak | satisfaction_percentile | latest_mom_growth_pct |    overall_rating    
------------------+------------+-------------+------------+---------------+-------------+-----------------+---------------------+---------------------+------------------+------------------+-----------------------+--------------------+----------------+---------------------+------------------+-------------------------+-------------------------+-----------------------+----------------------
 Carlos Mendes    | Benefits   |           3 | 2021-09-10 |            34 |          18 |             0.5 |               100.0 |                83.6 |             16.4 |             4.11 |                  3.73 |               0.38 |           22.3 |                23.0 |             -0.7 |                      18 |                      75 |                 100.0 | Exceeds expectations
 Omar Farah       | Benefits   |           4 | 2020-10-11 |            45 |          16 |             0.4 |               100.0 |                83.6 |             16.4 |             3.88 |                  3.73 |               0.15 |           23.7 |                23.0 |              0.7 |                      16 |                      67 |                 100.0 | Exceeds expectations
 Linda Nguyen     | Benefits   |           5 | 2019-07-20 |            59 |          22 |             0.4 |                86.4 |                83.6 |              2.8 |             3.73 |                  3.73 |               0.00 |           23.3 |                23.0 |              0.3 |                       9 |                      38 |                  33.3 | Meets expectations
 Andre Williams   | Benefits   |           5 | 2019-05-03 |            62 |          24 |             0.4 |                83.3 |                83.6 |             -0.3 |             3.75 |                  3.73 |               0.02 |           22.8 |                23.0 |             -0.2 |                      13 |                      50 |                 200.0 | Meets expectations
 Brian O'Malley   | Benefits   |           4 | 2020-12-01 |            43 |          22 |             0.5 |                81.8 |                83.6 |             -1.8 |             3.68 |                  3.73 |              -0.05 |           23.5 |                23.0 |              0.5 |                      12 |                      29 |                  33.3 | Meets expectations
 Priya Sharma     | Benefits   |           2 | 2022-06-15 |            25 |          22 |             0.9 |                77.3 |                83.6 |             -6.3 |             3.73 |                  3.73 |               0.00 |           23.4 |                23.0 |              0.4 |                      13 |                      38 |                  33.3 | Needs improvement
 Hannah Lee       | Benefits   |           2 | 2022-03-18 |            27 |          17 |             0.6 |                76.5 |                83.6 |             -7.1 |             3.63 |                  3.73 |              -0.10 |           22.7 |                23.0 |             -0.3 |                       8 |                      17 |                  50.0 | Needs improvement
 Emily Watson     | Benefits   |           1 | 2023-01-22 |            17 |          19 |             1.1 |                63.2 |                83.6 |            -20.4 |             3.33 |                  3.73 |              -0.40 |           22.6 |                23.0 |             -0.4 |                       4 |                       0 |                 150.0 | Needs improvement
 Maria Santos     | Claims     |           5 | 2019-03-15 |            64 |          28 |             0.4 |                96.4 |                88.3 |              8.1 |             4.14 |                  3.85 |               0.29 |           21.8 |                22.0 |             -0.2 |                      14 |                      79 |                  25.0 | Exceeds expectations
 James Chen       | Claims     |           3 | 2021-06-01 |            37 |          21 |             0.6 |                95.2 |                88.3 |              6.9 |             4.24 |                  3.85 |               0.39 |           21.3 |                22.0 |             -0.7 |                      13 |                      92 |                  33.3 | Exceeds expectations
 Aisha Patel      | Claims     |           2 | 2022-01-10 |            30 |          20 |             0.7 |                95.0 |                88.3 |              6.7 |             3.67 |                  3.85 |              -0.18 |           20.8 |                22.0 |             -1.2 |                      10 |                      25 |                  33.3 | Meets expectations
 Rachel Thompson  | Claims     |           1 | 2023-04-05 |            15 |          16 |             1.1 |                93.8 |                88.3 |              5.5 |             3.73 |                  3.85 |              -0.12 |           22.3 |                22.0 |              0.3 |                      15 |                      38 |                 100.0 | Meets expectations
 Michael Brown    | Claims     |           5 | 2018-11-30 |            67 |          16 |             0.2 |                93.8 |                88.3 |              5.5 |             3.87 |                  3.85 |               0.02 |           22.4 |                22.0 |              0.4 |                      15 |                      63 |                 100.0 | Exceeds expectations
 David Kim        | Claims     |           4 | 2020-08-22 |            46 |          18 |             0.4 |                88.9 |                88.3 |              0.6 |             4.00 |                  3.85 |               0.15 |           22.6 |                22.0 |              0.6 |                      11 |                      71 |                  33.3 | Meets expectations
 Tariq Hassan     | Claims     |           3 | 2021-02-28 |            40 |          17 |             0.4 |                82.4 |                88.3 |             -5.9 |             3.53 |                  3.85 |              -0.32 |           23.1 |                22.0 |              1.1 |                      11 |                       8 |                 100.0 | Needs improvement
 Sofia Rodriguez  | Claims     |           2 | 2022-09-14 |            22 |          18 |             0.8 |                61.1 |                88.3 |            -27.2 |             3.61 |                  3.85 |              -0.24 |           21.9 |                22.0 |             -0.1 |                       5 |                      13 |                 100.0 | Needs improvement
 Natasha Volkov   | Enrollment |           1 | 2023-06-01 |            13 |           3 |             0.2 |               100.0 |                85.3 |             14.7 |             4.33 |                  3.88 |               0.45 |           23.0 |                22.8 |              0.2 |                       3 |                      96 |                       | Exceeds expectations
 Stephanie Davis  | Enrollment |           5 | 2019-09-22 |            57 |          24 |             0.4 |                87.5 |                85.3 |              2.2 |             4.17 |                  3.88 |               0.29 |           24.3 |                22.8 |              1.5 |                       9 |                      83 |                 100.0 | Meets expectations
 Vijay Reddy      | Enrollment |           3 | 2021-11-05 |            32 |          23 |             0.7 |                87.0 |                85.3 |              1.7 |             3.68 |                  3.88 |              -0.20 |           22.8 |                22.8 |              0.0 |                      10 |                      29 |                 100.0 | Meets expectations
 Ryan Murphy      | Enrollment |           3 | 2021-04-25 |            38 |          23 |             0.6 |                87.0 |                85.3 |              1.7 |             4.18 |                  3.88 |               0.30 |           22.1 |                22.8 |             -0.7 |                      10 |                      88 |                 100.0 | Meets expectations
 Fatima Al-Rashid | Enrollment |           2 | 2022-08-30 |            22 |          25 |             1.1 |                84.0 |                85.3 |             -1.3 |             3.48 |                  3.88 |              -0.40 |           20.6 |                22.8 |             -2.2 |                       9 |                       4 |                 100.0 | Meets expectations
